participant_code,period,workflow,task_variant,enrolled
P01,1,notebook_viewer,T1,
P01,2,generic_agent_tools,T2,
P01,3,agent_spatial_collab,T3,
P02,1,notebook_viewer,T1,
P02,2,agent_spatial_collab,T2,
P02,3,generic_agent_tools,T3,
P03,1,generic_agent_tools,T1,
P03,2,notebook_viewer,T2,
P03,3,agent_spatial_collab,T3,
P04,1,generic_agent_tools,T1,
P04,2,agent_spatial_collab,T2,
P04,3,notebook_viewer,T3,
P05,1,agent_spatial_collab,T1,
P05,2,notebook_viewer,T2,
P05,3,generic_agent_tools,T3,
P06,1,agent_spatial_collab,T1,
P06,2,generic_agent_tools,T2,
P06,3,notebook_viewer,T3,
